time_ps,time_ns,msd_nm2,sem_nm2
2050,2.05,3.08228266,0.168958978
2060,2.06,3.09493373,0.169463984
2070,2.07,3.10747005,0.170013275
2080,2.08,3.12027622,0.170557998
2090,2.09,3.13285949,0.171131712
2100,2.1,3.14552627,0.171677518
2110,2.11,3.15858032,0.172248118
2120,2.12,3.17107655,0.172834773
2130,2.13,3.18373601,0.173402431
2140,2.14,3.19629224,0.173971613
2150,2.15,3.20900261,0.174558561
2160,2.16,3.22160147,0.17514214
2170,2.17,3.2342041,0.175743235
2180,2.18,3.24668709,0.176313113
2190,2.19,3.25930108,0.176856835
2200,2.2,3.27170156,0.177406612
2210,2.21,3.28426553,0.177935499
2220,2.22,3.29692075,0.178493572
2230,2.23,3.30932757,0.179020147
2240,2.24,3.32140008,0.179555179
2250,2.25,3.33343908,0.180135476
2260,2.26,3.34545683,0.180672726
2270,2.27,3.35744811,0.181213308
2280,2.28,3.36927401,0.181800398
2290,2.29,3.3810689,0.182379958
2300,2.3,3.39275281,0.18295106
2310,2.31,3.40451386,0.183545175
2320,2.32,3.41603518,0.184141988
2330,2.33,3.42781379,0.184724764
2340,2.34,3.43931656,0.185322691
2350,2.35,3.45072031,0.185911936
2360,2.36,3.46196972,0.186510386
2370,2.37,3.47342499,0.187122677
2380,2.38,3.48470451,0.187705789
2390,2.39,3.49590179,0.188303622
2400,2.4,3.50741112,0.188954521
2410,2.41,3.51865671,0.189619442
2420,2.42,3.5299019,0.190281148
2430,2.43,3.54086953,0.190912787
2440,2.44,3.55205074,0.191519092
2450,2.45,3.56305436,0.192139818
2460,2.46,3.57416993,0.19272464
2470,2.47,3.58514385,0.193302415
2480,2.48,3.59618439,0.193896002
2490,2.49,3.60720663,0.194439447
2500,2.5,3.61830222,0.195026643
2510,2.51,3.62948036,0.19564571
2520,2.52,3.64049308,0.196281202
2530,2.53,3.65137202,0.1969076
2540,2.54,3.6623514,0.197506609
2550,2.55,3.67333679,0.198094214
2560,2.56,3.68421142,0.19872216
2570,2.57,3.69511417,0.199370395
2580,2.58,3.7060528,0.199985554
2590,2.59,3.7171978,0.200646595
2600,2.6,3.72820924,0.201262306
2610,2.61,3.73910758,0.201830723
2620,2.62,3.74995709,0.20235997
2630,2.63,3.76084152,0.202880582
2640,2.64,3.77162052,0.203444516
2650,2.65,3.78232286,0.204011924
2660,2.66,3.79326376,0.204588574
2670,2.67,3.80430928,0.205162726
2680,2.68,3.81509396,0.205732688
2690,2.69,3.82567748,0.206253013
2700,2.7,3.83624705,0.206755399
2710,2.71,3.84705312,0.207298429
2720,2.72,3.85777144,0.207854156
2730,2.73,3.86853732,0.208431842
2740,2.74,3.87921664,0.208946001
2750,2.75,3.89005362,0.209473196
2760,2.76,3.90084994,0.209963262
2770,2.77,3.9115674,0.210511688
2780,2.78,3.92230838,0.211046939
2790,2.79,3.93348261,0.211652708
2800,2.8,3.94488822,0.212237656
2810,2.81,3.95602601,0.212830695
2820,2.82,3.96703316,0.213411399
2830,2.83,3.97823962,0.213985126
2840,2.84,3.98958016,0.214603562
2850,2.85,4.00095391,0.215206322
2860,2.86,4.01248628,0.215830787
2870,2.87,4.02375907,0.216411258
2880,2.88,4.03500836,0.216983618
2890,2.89,4.04597271,0.217601975
2900,2.9,4.05726713,0.218190106
2910,2.91,4.0686344,0.218822518
2920,2.92,4.08002947,0.219422932
2930,2.93,4.09172705,0.2199961
2940,2.94,4.10336,0.220601938
2950,2.95,4.1150622,0.221174814
2960,2.96,4.12641912,0.221724615
2970,2.97,4.13788465,0.222275072
2980,2.98,4.14930673,0.222820511
2990,2.99,4.16065611,0.223395864
3000,3,4.17208365,0.223970693
3010,3.01,4.18334528,0.224567465
3020,3.02,4.19445022,0.225159726
3030,3.03,4.20586264,0.225748162
3040,3.04,4.21717424,0.226315154
3050,3.05,4.2285562,0.22684993
3060,3.06,4.23961484,0.227386078
3070,3.07,4.25069515,0.227898283
3080,3.08,4.26180238,0.228426829
3090,3.09,4.2731721,0.228909956
3100,3.1,4.28433449,0.229417293
3110,3.11,4.29551464,0.229951236
3120,3.12,4.30697541,0.230475363
3130,3.13,4.31807866,0.230961264
3140,3.14,4.32941425,0.231426158
3150,3.15,4.34062386,0.231892818
3160,3.16,4.3520334,0.2323585
3170,3.17,4.36337935,0.232849118
3180,3.18,4.37457793,0.233355544
3190,3.19,4.38585555,0.233812548
3200,3.2,4.39720704,0.234286008
3210,3.21,4.40845827,0.234757919
3220,3.22,4.41965786,0.235189691
3230,3.23,4.43110936,0.235643602
3240,3.24,4.4425589,0.236131862
3250,3.25,4.45414763,0.236610157
3260,3.26,4.46577808,0.237090935
3270,3.27,4.47729672,0.237511476
3280,3.28,4.48877388,0.237902066
3290,3.29,4.5003151,0.238313878
3300,3.3,4.51163789,0.238699521
3310,3.31,4.52304059,0.239104284
3320,3.32,4.53439822,0.239485111
3330,3.33,4.54592347,0.239869089
3340,3.34,4.55752645,0.240273938
3350,3.35,4.5691945,0.240635649
3360,3.36,4.58074401,0.241017638
3370,3.37,4.59238851,0.24142572
3380,3.38,4.60391472,0.241872448
3390,3.39,4.61516322,0.242312744
3400,3.4,4.62597637,0.242755863
3410,3.41,4.63645068,0.243221871
3420,3.42,4.64715123,0.243690676
3430,3.43,4.6579408,0.244143997
3440,3.44,4.6690161,0.244643681
3450,3.45,4.68002055,0.245171128
3460,3.46,4.69110597,0.245700981
3470,3.47,4.70225765,0.246317706
3480,3.48,4.71324213,0.246905183
3490,3.49,4.72444971,0.247433516
3500,3.5,4.7355579,0.247964881
3510,3.51,4.74638655,0.248528308
3520,3.52,4.75752777,0.249055403
3530,3.53,4.76871428,0.2496042
3540,3.54,4.78005368,0.250110986
3550,3.55,4.79124399,0.250672967
3560,3.56,4.8021701,0.25115761
3570,3.57,4.81309788,0.251635026
3580,3.58,4.82418449,0.252137823
3590,3.59,4.835073,0.252674874
3600,3.6,4.84624667,0.253261924
3610,3.61,4.85734176,0.253878949
3620,3.62,4.86856807,0.254488716
3630,3.63,4.87999066,0.255070381
3640,3.64,4.89152692,0.255675691
3650,3.65,4.9027981,0.25629189
3660,3.66,4.91398091,0.256882294
3670,3.67,4.92526775,0.257448029
3680,3.68,4.93637522,0.257999878
3690,3.69,4.94748006,0.258462555
3700,3.7,4.95858932,0.258966845
3710,3.71,4.96978013,0.259424075
3720,3.72,4.98061675,0.259828041
3730,3.73,4.99170197,0.26032819
3740,3.74,5.00284838,0.260804124
3750,3.75,5.01429105,0.261305216
3760,3.76,5.02582605,0.261829438
3770,3.77,5.03715684,0.262333286
3780,3.78,5.04845251,0.262849341
3790,3.79,5.05965563,0.2633926
3800,3.8,5.07107203,0.263927694
3810,3.81,5.08251681,0.264497441
3820,3.82,5.09375361,0.265083966
3830,3.83,5.10521192,0.265706561
3840,3.84,5.11666562,0.266335041
3850,3.85,5.12846911,0.266968336
3860,3.86,5.14029237,0.267685491
3870,3.87,5.15221408,0.268387341
3880,3.88,5.16414713,0.2690893
3890,3.89,5.17627073,0.269840764
3900,3.9,5.18791415,0.270608796
3910,3.91,5.19966277,0.271367396
3920,3.92,5.21125651,0.27212705
3930,3.93,5.22309118,0.27296243
3940,3.94,5.23474134,0.273773326
3950,3.95,5.24601982,0.274567493
3960,3.96,5.25751833,0.275345044
3970,3.97,5.26905631,0.276130588
3980,3.98,5.28042367,0.276903706
3990,3.99,5.29163014,0.277705763
4000,4,5.30285849,0.278554739
